ts,price,volume,side
1763509987.596,3116.59,0.1,S
1763509987.596,3116.59,0.01,S
1763509987.596,3116.59,0.01,S
1763509987.137,3116.6,0.33,B
1763509987.137,3116.6,0.01,B
1763509987.137,3116.6,0.01,B
1763509987.137,3116.6,0.13,B
1763509987.137,3116.6,0.01,B
1763509987.137,3116.6,0.01,B
1763509985.832,3116.59,0.16,S
1763509985.817,3116.54,0.01,B
1763509985.817,3116.49,0.01,B
1763509985.817,3116.44,0.01,B
1763509985.817,3116.44,0.01,B
1763509985.817,3116.41,0.01,B
1763509985.817,3116.41,0.1,B
1763509985.687,3116.4,0.01,B
1763509985.687,3116.4,0.01,B
1763509985.687,3116.4,0.01,B
1763509985.677,3116.39,0.01,B
1763509985.677,3116.37,0.01,B
1763509985.677,3116.27,0.01,B
1763509985.677,3116.26,0.01,B
1763509985.677,3116.26,0.01,B
1763509985.677,3116.26,0.01,B
1763509985.677,3116.25,0.01,B
1763509985.677,3116.22,0.16,B
1763509985.673,3116.21,0.01,B
1763509985.668,3116.17,0.04,B
1763509985.668,3116.15,0.01,B
1763509985.668,3116.15,0.32,B
1763509985.647,3116.1,0.01,B
1763509985.647,3116.05,0.01,B
1763509985.647,3116.05,0.01,B
1763509985.642,3116.0,0.01,B
1763509985.642,3116.0,0.01,B
1763509985.638,3115.94,0.02,B
1763509985.638,3115.94,0.31,B
1763509985.638,3115.94,0.29,B
1763509985.638,3115.94,0.51,B
1763509985.638,3115.94,0.07,B
1763509985.638,3115.94,0.01,B
1763509985.638,3115.94,0.13,B
1763509985.638,3115.94,0.01,B
1763509985.638,3115.94,0.88,B
1763509983.772,3115.94,0.05,B
1763509983.03,3115.93,1.19,S
1763509982.897,3115.85,0.14,B
1763509982.897,3115.85,0.01,B
1763509982.897,3115.85,0.01,B
1763509982.897,3115.85,0.01,B
1763509982.897,3115.85,0.01,B
1763509982.77,3115.84,0.8,S
1763509982.5,3115.84,0.68,S
1763509982.5,3115.84,0.01,S
1763509982.5,3115.84,0.01,S
1763509982.432,3115.93,0.01,S
1763509982.432,3115.93,0.01,S
1763509982.432,3115.93,0.01,S
1763509982.432,3115.93,0.01,S
1763509982.432,3115.93,0.01,S
1763509981.827,3115.98,0.01,S
1763509981.827,3116.0,0.01,S
1763509981.827,3116.04,0.01,S
1763509981.827,3116.04,0.01,S
1763509981.747,3116.1,0.01,S
1763509981.747,3116.1,0.01,S
1763509981.747,3116.11,0.01,S
1763509981.747,3116.11,0.01,S
1763509981.747,3116.12,0.01,S
1763509981.747,3116.16,0.01,S
1763509981.747,3116.2,0.01,S
1763509981.746,3116.25,0.01,S
1763509981.746,3116.26,0.01,S
1763509981.742,3116.32,0.01,S
1763509981.742,3116.32,0.01,S
1763509981.742,3116.4,0.02,S
1763509981.742,3116.4,0.29,S
1763509981.742,3116.4,0.01,S
1763509981.742,3116.4,0.01,S
1763509981.507,3116.41,0.5,B
1763509980.385,3116.51,0.01,S
1763509980.385,3116.51,0.01,S
1763509980.385,3116.53,0.02,S
1763509980.385,3116.59,0.03,S
1763509980.385,3116.6,0.01,S
1763509980.385,3116.61,0.02,S
1763509980.19,3116.66,0.01,B
1763509979.997,3116.67,0.01,S
1763509979.997,3116.67,0.01,S
1763509979.997,3116.7,0.01,S
1763509979.997,3116.7,0.01,S
1763509979.99,3116.77,0.02,S
1763509979.99,3116.78,0.01,S
1763509979.749,3116.81,0.01,B
1763509977.618,3116.81,0.46,B
1763509976.895,3116.86,0.02,S
1763509976.895,3116.86,0.01,S
1763509976.895,3116.86,0.01,S
1763509976.709,3116.92,1.73,S
1763509976.709,3116.92,0.1,S
1763509976.709,3116.92,0.15,S
1763509976.709,3116.92,0.01,S
1763509976.709,3116.92,0.01,S
1763509975.696,3116.84,0.32,B
1763509975.696,3116.82,0.01,B
1763509975.696,3116.82,0.01,B
1763509975.696,3116.82,0.01,B
1763509975.685,3116.78,0.01,B
1763509975.666,3116.77,0.01,B
1763509975.666,3116.77,0.01,B
1763509975.666,3116.77,0.01,B
1763509975.657,3116.73,0.02,B
1763509975.657,3116.71,0.01,B
1763509975.657,3116.71,0.01,B
1763509974.302,3116.71,2.48,B
1763509973.576,3116.7,0.01,B
1763509973.576,3116.7,0.01,B
1763509973.576,3116.7,0.01,B
